producto,insumo,cantidad
Torta de chocolate,harina,400
Torta de chocolate,azúcar,300
Torta de chocolate,cacao,100
Torta de chocolate,huevos,4
Torta de chocolate,mantequilla,200
Mini cupcakes de vainilla,harina,250
Mini cupcakes de vainilla,azúcar,200
Mini cupcakes de vainilla,huevos,3
Mini cupcakes de vainilla,esencia de vainilla,10
Mini cupcakes de vainilla,mantequilla,150
Cheesecake de maracuyá,galletas,200
Cheesecake de maracuyá,mantequilla,100
Cheesecake de maracuyá,queso crema,400
Cheesecake de maracuyá,azúcar,150
Cheesecake de maracuyá,maracuyá,200
Tarta de frambuesa,frambuesas,200
Tarta de frambuesa,azúcar glass,50
Cheesecake de maracuyá,gelatina sin sabor,20
Cheesecake de maracuyá,maracuyá,150
Cupcakes Red Velvet,colorante rojo,5
Cupcakes Red Velvet,chispas de chocolate,30
Torta Selva Negra,cerezas,150
Torta Selva Negra,chocolate rallado,100
Torta tres leches,leche evaporada,150
Torta tres leches,leche condensada,100
Cupcakes de vainilla,esencia de vainilla,10
Cheesecake de arándanos,arándanos,120
Pie de manzana,manzanas,200
Pie de manzana,canela,5
Mini brownies,chocolate semi-amargo,100
Mini brownies,nueces,30
Tarta de limón,limones,100
Tarta de limón,azúcar,80
